row,y_west,y_east
1,24.334,23.569
2,23.569,22.805
3,22.805,22.04
4,22.04,21.275
5,21.275,20.511
6,20.511,19.746
7,19.746,18.982
8,18.982,18.217
9,18.217,17.453
10,17.453,16.688
11,16.688,15.923
12,15.923,15.159
13,15.159,14.394
14,14.394,13.63
15,13.63,12.865
16,12.865,12.101
17,12.101,11.336
18,11.336,10.571
19,10.571,9.807
20,9.807,9.042
21,9.042,8.278
22,8.278,7.513
23,7.513,6.749
24,6.749,5.984
25,5.984,5.219
26,5.219,4.455
27,4.455,3.69
28,3.69,2.926
29,2.926,2.161
30,2.161,1.397
31,1.397,0.632
32,0.632,0
